X,y
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[2]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19  8  0  2  2 10  8
  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[10  8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2
  2 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[ 8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8 10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10
  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8 10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10
  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10  8  7
  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10  8  7
  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[10]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[13]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[ 2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[2]
"[ 2 13 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[2]
"[ 2 13 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[13]
"[13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8  8
 10  0  0 19  8  8  1  7 10  5]",[13]
"[ 0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2  2 10  8  7  7  0
  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8  8 10
  0  0 19  8  8  1  7 10  5]",[0]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[ 5  5  0  0 19 19 19 19 11 11 11  8  0  2  2  2  2  2  2 10  2  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 10 10 13 13 13 13 13  1  7  5 13  2  0
  0  5 10 10  5  8  8 10  0  0 19 12  8  8  1  7 10  5  5]",[5]
"[ 5  5  0  0 19 19 19 19 11 11 11  8  0  2  2  2  2  2  2 10  2  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 10 10 13 13 13 13 13  1  7  5 13  2  0
  0  5 10 10  5  8  8 10  0  0 19 12  8  8  1  7 10  5  5]",[5]
"[ 0  0 19 19 19 19 11 11 11  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7
  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[0]
"[ 0 19 19 19 19 11 11 11  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1
  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10
 19  8  4 12  8  8  1  7 10 10  5  5  5]",[0]
"[19 19 19 19 11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[19]
"[19 19 19 19 11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[19]
"[19 19 19 19 11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[19]
"[19 19 19 19 11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[19]
"[11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18
 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10
 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8
  4 12  8  8  1  7 10 10  5  5  5]",[11]
"[11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18
 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10
 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8
  4 12  8  8  1  7 10 10  5  5  5]",[11]
"[11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18
 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10
 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8
  4 12  8  8  1  7 10 10  5  5  5]",[11]
"[11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18
 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10
 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8
  4 12  8  8  1  7 10 10  5  5  5]",[8]
"[11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18
 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10
 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8
  4 12  8  8  1  7 10 10  5  5  5]",[8]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[0]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[0]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[ 0  0  2  2  2  2  2  2 10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10
 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5
 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1
  7 10 10  5  5  5]",[2]
"[10  2  8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5
  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  8  4 12  8  8  1  7 10 10  5  5  5]",[10]
"[ 2  0  8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5
  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[2]
"[ 2  0  8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5
  5 13 13 13 13 13 13  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[0]
"[ 8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13
 13 13 13 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[8]
"[ 8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13
 13 13 13 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[8]
"[ 8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13
 13 13 13 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[7]
"[ 8  8  7  7  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13
 13 13 13 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10
  8  8  8  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[7]
"[ 0 17  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13
 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8
  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[0]
"[ 0 17  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13
 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8
  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[17]
"[ 0 17  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13
 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8
  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[1]
"[ 0 17  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13
 13 13  1  7  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8
  0  0  0 10 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[1]
"[10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7
  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7
  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[18]
"[10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7
  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7
  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[0]
"[10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7
  5  5 10 13  2  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  2  8  4 12  8  8  1  7 10 10  0  5  5  5]",[18]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1  7  5  5 10 13  2
  0  0 10  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2  8
  4 12  8  8  1  7 10 10  0  5  5  5]",[10]
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[5]
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[5]
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[13]
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13  1  7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2
  2 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13  8  8
  2  2  2  4  4  4 12  4  4  8  8  5  0  1  7 10 10 10 13 13 12  0  0  5
  5  5  5 17 19  0  8]",[13]
"[ 1  7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2
  2 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8
  8  2  2  2  2  4  4  4 12  4  4  2  8  8  5  0  2  1  7 10 10 10 13 13
 12 12  0  0  5  5  5  5 17 19  0  8]",[1]
"[ 7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2
 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8
  2  2  2  2  4  4  4 12  4  4  2  8  8  5  0  2  1  7 10 10 10 13 13 12
 12  0  0  5  5  5  5 17 19  0  8]",[7]
"[ 5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10
  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2
  2  2  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12
 12  0  0  5  5  5  5  5  5 17 19  0  8]",[5]
